countyfips,num_drug_death_t,year_t,num_drug_death_t_1,num_drug_death_t_2,num_drug_death_t_3,log_num_drug_death_t_1,log_num_drug_death_t_2,log_num_drug_death_t_3,num_drug_crime_t_1,num_drug_crime_state_t_1,is_sup_all_drug_death_t_1,crime_grav_drug_t_1,fent_rt_t_1,num_drug_crime_t_2,num_drug_crime_state_t_2,is_sup_all_drug_death_t_2,crime_grav_drug_t_2,fent_rt_t_2,num_drug_crime_t_3,num_drug_crime_state_t_3,is_sup_all_drug_death_t_3,crime_grav_drug_t_3,fent_rt_t_3,num_primary_care_physicians,poor_fair_health,poor_physical_health_days,adult_smoking,adult_obesity,unemployment,uninsured_adults,high_school_graduation,gini,hmi,Population,is_ruca_1,is_ruca_2,is_ruca_3,is_ruca_4,is_ruca_5,is_ruca_7,is_ruca_8,is_ruca_9,lat,long,is_CT,is_DE,is_KY,is_MA,is_ME,is_NH,is_OH,is_RI,is_TN,is.stateborder,num_drug_death_t_3_x_num_drug_crime_t_3,num_drug_death_t_2_x_num_drug_crime_t_2,num_drug_death_t_1_x_num_drug_crime_t_1,num_drug_death_t_3_x_fent_rt_t_3,num_drug_death_t_2_x_fent_rt_t_2,num_drug_death_t_1_x_fent_rt_t_1,log_num_drug_death_t_3_x_num_drug_crime_t_3,log_num_drug_death_t_2_x_num_drug_crime_t_2,log_num_drug_death_t_1_x_num_drug_crime_t_1,log_num_drug_death_t_3_x_fent_rt_t_3,log_num_drug_death_t_2_x_fent_rt_t_2,log_num_drug_death_t_1_x_fent_rt_t_1
21039,0,2013,0,0,0,0,0,0,0.002068752,0.362309017,1,0.844310035,0.000559555,0,0.351005752,1,0.849259345,0.001108013,0.002068752,0.341241344,1,0.829649569,0.000571948,0.002358491,0.945588807,0.993861265,0.56681651,0.646226415,0.578781161,0.98148192,0.814675152,0.359794343,0.338445172,0.006354334,0,0,0,0,0,0,0,1,36.857726,-88.975757,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21041,0,2013,0,0,0,0,0,0,0.117918836,0.362309017,1,0.865588666,0.000559555,0.077922973,0.351005752,1,0.850376831,0.001108013,0.019308347,0.341241344,1,0.844434136,0.000571948,0.007075472,0.716543594,0.583793738,0.61790331,0.63836478,0.837523363,0.689067444,0.797106489,0.705557126,0.371247073,0.018929635,0,0,0,0,0,0,0,0,38.668284,-85.124083,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21043,0,2013,0,0,16,0,0,2.833213344,0.011722925,0.362309017,1,0.827070046,0.000559555,0.022756267,0.351005752,1,0.837886127,0.001108013,0.022066683,0.341241344,0,0.84837389,0.000571948,0.017295597,1,0.871086556,1,0.75,0.85476249,0.716107501,0.797165527,0.751421481,0.256475772,0.054731023,0,0,0,0,0,0,0,0,38.309555,-83.048821,0,0,1,0,0,0,0,0,0,0,0.353066924,0,0,0.009151162,0,0,0.06251962,0,0,0.00162045,0,0
21045,0,2013,0,0,0,0,0,0,0.015860428,0.362309017,1,0.858844556,0.000559555,0.012412509,0.351005752,1,0.855493328,0.001108013,0.019308347,0.341241344,1,0.847413677,0.000571948,0.007861635,0.955952844,0.98096992,0.619397902,0.759433962,0.692285853,0.871328091,0.752936097,0.611524728,0.114321344,0.02984429,0,0,0,0,0,0,0,1,37.321962,-84.92822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21047,0,2013,0,0,0,0,0,0,0.567527497,0.362309017,1,0.812862879,0.000559555,0.588904596,0.351005752,1,0.811328698,0.001108013,0.649587974,0.341241344,1,0.773597717,0.000571948,0.087264151,0.720171007,0.616329036,0.89415611,0.580188679,0.818402178,0.839289982,0.732928641,0.544508319,0.284533836,0.155344182,0,1,0,0,0,0,0,0,36.893388,-87.493554,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21049,10,2013,18,13,10,2.944438979,2.63905733,2.397895273,0.143433438,0.362309017,0,0.969128252,0.000559555,0.006895838,0.351005752,0,0.931139362,0.001108013,0.120677171,0.341241344,0,0.907231289,0.000571948,0.052672956,0.826013732,0.92019644,0.875424795,0.528301887,0.685980037,0.663529613,0.737584656,0.622624321,0.443728798,0.072142702,0,1,0,0,0,0,0,0,37.970133,-84.144974,0,0,1,0,0,0,0,0,0,0,1.206771713,0.089645899,2.581801883,0.005719476,0.014404175,0.010071996,0.289371219,0.018198513,0.422331006,0.001371471,0.002924111,0.001647577
21051,0,2013,0,25,16,0,3.258096538,2.833213344,0.076543806,0.362309017,1,0.828828438,0.000559555,0.079302141,0.351005752,0,0.833522918,0.001108013,0.05930421,0.341241344,0,0.829002423,0.000571948,0.023584906,1,1,1,0.661949686,0.925804791,0.612945326,0.570255116,0.933339616,0.023198523,0.042076849,0,0,0,0,0,1,0,0,37.164466,-83.710763,0,0,1,0,0,0,0,0,0,0,0.948867359,1.982553529,0,0.009151162,0.027700336,0,0.168021479,0.258374032,0,0.00162045,0.003610015,0
21053,0,2013,10,0,0,2.397895273,0,0,0.004137503,0.362309017,0,0.778235752,0.000559555,0.002758335,0.351005752,1,0.786639761,0.001108013,0.002758335,0.341241344,1,0.778613564,0.000571948,0.011006289,0.928358596,0.831798649,0.582618172,0.644654088,0.619768966,0.733123356,0.792405906,0.871632164,0.09983914,0.01751995,0,0,0,0,0,0,0,1,36.729124,-85.153499,0,0,1,0,0,0,0,0,0,1,0,0,0.04137503,0,0,0.005595553,0,0,0.009921299,0,0,0.001341755
21055,0,2013,0,0,0,0,0,0,0.025514602,0.362309017,1,0.826829222,0.000559555,0.018618764,0.351005752,1,0.82397533,0.001108013,0.031031273,0.341241344,1,0.796772609,0.000571948,0.007075472,0.913848944,0.81461019,1,0.647798742,0.676521312,0.839781358,0.694586708,0.864438371,0.239062417,0.015492902,0,0,0,0,0,1,0,0,37.358149,-88.10501,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21057,0,2013,0,0,0,0,0,0,0.002068752,0.362309017,1,0.781335798,0.000559555,0.007585422,0.351005752,1,0.792807147,0.001108013,0,0.341241344,1,0.783334905,0.000571948,0.007075472,0.863453815,0.862492327,0.585887481,0.679245283,0.842150857,0.865319189,0.683017258,0.482936994,0.105457181,0.010169659,0,0,0,0,0,0,0,1,36.784227,-85.393499,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
